[0] stm_hospital_001 | file=935_stomach_hurt_chat.yaml | intent=complaint | kws=['去医院', '急诊', '胃镜', '检查', '看消化科'] | utt=['去医院', '看急诊', '胃镜检查'] | sibs=ws_boss_check_003(203_work_slack):老板查岗 | hd_chronic_001(936_headache_complain):一直头痛 | in_see_gastroenterology_001(III7_indigestion):{user_addr}想看消化科 | bf_seedoctor_001(MMM8_burnout_founder):该去看医生了喵 | cc_yiyuan_001(041_catch_a_cold_sick):去医院 | bl_doctor_001(III5_bloating):{user_addr}要不要看医生
[51] gsh_snack_zone_006 | file=828_grocery_shopping.yaml | intent=playful | kws=['零食区', '进零食区', '走不动', '零食买太多', '必扫货'] | utt=['{user_addr}零食区逛', '走不动了', '零食买太多'] | sibs=blc_bump_009(659_bump_lost_chat):崴脚了{user_addr} | hp_after_001(932_hotpot_dream):吃完撑 | caw_windy_day_003(840_chitchat_about_weather):{user_addr}风太大 | bf_furniture_mall_tired_001(VV9_buying_furniture):家具城逛累了 | fs_xuezhang_001(979_first_snow_excited):雪好厚 | td_scenic_jammed_001(OO6_travel_disappointment):景区太拥挤
[52] wtc_jidian_001 | file=716_what_time_check.yaml | intent=question | kws=['几点了', '现在几点', '几点钟了', '时间', '报时'] | utt=['{user_addr}几点了', '现在几点', '报个时'] | sibs=mw_what_time_009(153_morning_wakeup):现在几点了 | ln_yejing_001(253_late_night_chat):几点了呀 | sac_jindian_001(355_still_awake_check):几点了 | ncs_late_002(319_night_cant_sleep):几点了 | nsc_too_late_001(075_night_sleep_chat):现在几点 | nb_wu_bukunzhi_004(221_noon_break):午休时间到
[53] to_sweat_001 | file=131_tease_owner.yaml | intent=playful | kws=['出汗', '汗湿', '汗臭', '流汗', '汗味'] | utt=['出汗了', '汗湿透', '汗臭'] | sibs=wwr_chukai_005(016_wear_warm_remind):出汗了 | hs_sum_002(588_hot_summer_complain):一直出汗 | dr_re_008(300_dress_warm_care):好热 | wc_hot_001(128_warmth_check):热不热 | st_hot_today_009(195_small_things):今天好热 | psk_run_finish_001(525_praise_seeking):跑完步
[54] rcg_dualup_006 | file=644_ranked_climb_grind.yaml | intent=question | kws=['双排', '三排', '五黑', '开黑', '组队'] | utt=['双排', '三排', '五黑'] | sibs=wsb_neg_001(746_winning_streak_brag):{user_addr}代打 | dw_zaiganma_005(390_doing_what):打游戏中 | wdn_gaming_001(519_what_doing_now):在打游戏 | wd_youxi_001(256_what_doing):在打游戏 | gg_kaihei_001(071_game_gacha_pull):开黑 | gm_gm_lanyou_008(234_game_mood):游戏伴侣
[55] philosophy_overthink_001 | file=A2_philosophy_life.yaml | intent=complaint | kws=['想太多', '胡思乱想', '脑子停不下', '内耗', '想个没完'] | utt=['我想太多了', '总是胡思乱想', '脑子停不下来'] | sibs=lnc_overthink_001(484_late_night_chat):睡前想太多 | sl_shimian_005(406_sleep_lost):脑子停不下 | it_shimian_004(445_insomnia_thinking):脑子停不下 | lno_xinshi_006(002_late_night_owl):想太多睡不着 | sd_overthink_001(149_self_doubt):想太多 | mid_yeshen_005(387_midnight_chat):深夜想太多
[56] ct_jam_001 | file=166_commute_tired.yaml | intent=complaint | kws=['堵车', '堵死了', '路堵', '一直堵', '堵心'] | utt=['堵车', '堵死了', '路又堵了'] | sibs=st_jam_003(195_small_things):堵车 | ctt_jam_001(344_commute_traffic_tired):堵车 | ct_tongqin_003(442_commute_tired):堵车 | cm_dujie_001(245_commute_chat):堵车 | bct_traffic_001(111_bus_commute_tired):堵车 | sc_traffic_001(132_small_complaints):堵车死了
[57] icc_mlt_006 | file=872_ice_cream_melt.yaml | intent=question | kws=['冰淇淋哪家好', '蜜雪冰城', '哈根达斯', '思乐冰', '自制冰淇淋'] | utt=['哪家好', '蜜雪冰城', '哈根达斯'] | sibs=icc_ice_003(563_ice_cream_craving):巧克力球太香 | icc_ice_007(563_ice_cream_craving):抹茶口味爱了 | tm_brand_005(181_tea_milk_chat):喜茶 | icc_ice_009(563_ice_cream_craving):猫猫要不要尝一口 | icc_ice_001(563_ice_cream_craving):{user_addr}突然想吃冰淇淋 | mta_brand_001(964_milk_tea_addict):喜茶
[58] ar_tsundere_003 | file=176_anti_routine.yaml | intent=playful | kws=['嘴硬', '口是心非', '嘴上不说', '嘴上一套', '心里一套'] | utt=['嘴硬', '口是心非', '嘴上不说'] | sibs=fcd_mouth_hard_001(109_feigned_cold):嘴硬 | at_at_zuiying_003(243_anti_trope):嘴硬 | sc_zuiying_001(284_suddenly_cold):嘴硬 | ar_zuiying_001(137_anti_routine):嘴硬 | jp_zui_ying_001(126_jealous_pout):嘴硬 | tl_aojiao_001(414_tsundere_lie):笨猫口是心非
[59] lz_chongdian_001 | file=800_lazy_sunday_morning.yaml | intent=playful | kws=['周日充电', '周末充电', '放空', '心理充电', '一个人安静'] | utt=['周日充电', '周末充电', '放空'] | sibs=mm_dazed_009(205_micro_mood):发呆 | wkd_lazy_006(750_weekend_lazy_morn):窝沙发上 | chf_idle_001(514_chat_filler):发呆 | sc_relax_003(184_self_care_check):放松一下 | bof_chill_001(083_busy_or_free):无所事事 | bb_xianhao_001(887_brain_blank):啥都不想
[60] dwc_rain_001 | file=527_dress_warm_care.yaml | intent=complaint | kws=['下雨', '雨大', '没带伞', '淋湿', '衣服湿'] | utt=['下雨了', '雨大', '没带伞'] | sibs=urc_umbrella_001(576_umbrella_rain_chat):{user_addr}突然下雨淋成狗 | sb_sb_chuangwai_003(227_sleep_buddy_chat):窗外下雨 | cm_cm_pubabiqi_007(245_commute_chat):天气糟 | wwr_youshen_008(016_wear_warm_remind):带伞了吗 | cd_rain_011(190_care_drinking):带伞了吗 | wt_raining_001(143_weather_chat):下雨了
[61] wwr_warm_001 | file=328_wear_warm_remind.yaml | intent=question | kws=['穿暖了吗', '穿厚点', '加衣服', '冻着了', '多穿点'] | utt=['穿暖了吗', '{user_addr}多穿点', '加衣服'] | sibs=ww_chuannuan_001(259_wear_warm):{user_addr}穿暖了吗 | dw_chuannuan_001(430_dress_warm_remind):穿暖了吗 | wwr_chuannuan_001(724_wear_warm_remind):{user_addr}穿暖了吗 | dwm_warm_001(466_dress_warm_care):{user_addr}穿暖了吗 | cw_chuannuan_001(049_care_dress_warm):{user_addr}穿暖了吗 | wc_clothes_001(128_warmth_check):穿暖了吗
[62] msc_icecream_007 | file=615_midnight_snack_crave.yaml | intent=playful | kws=['冰淇淋', '雪糕', '想吃冰', '冰棒', '凉的'] | utt=['想吃冰淇淋', '来根雪糕', '想吃冰'] | sibs=food_sweet_001(96_food_cook):推荐甜点 | icc_ice_003(563_ice_cream_craving):巧克力球太香 | icc_ice_007(563_ice_cream_craving):抹茶口味爱了 | icc_ice_009(563_ice_cream_craving):猫猫要不要尝一口 | ay_chile_010(423_ate_yet):想吃蛋糕 | icc_ice_001(563_ice_cream_craving):{user_addr}突然想吃冰淇淋
[63] wl_no_outdoor_001 | file=V7_weekend_lazy.yaml | intent=complaint | kws=['不想出门', '懒得出门', '出门好累', '死也不出门', '出门就废'] | utt=['不想出门啊', '懒得出门', '出门好累'] | sibs=sl_lansa_001(895_sunny_lazy_chat):懒得动 | el_dont_want_002(216_exercise_lazy):懒得动 | id_jiazhai_001(989_indoor_lazy_day):宅家一天 | dp_social_avoid_001(III9_diet_pressure):社交都不敢去了 | hs_sum_010(588_hot_summer_complain):晒黑了 | ld_no_money_out_006(178_lazy_day_off):出门花钱
[64] spc_clingy_001 | file=522_spoiled_clingy.yaml | intent=playful | kws=['陪我', '不要走', '别离开', '黏你', '抱紧'] | utt=['陪陪我', '不要走', '别离开'] | sibs=ac_play_with_001(124_acting_clingy):{user_addr}陪我 | nc_pei_001(127_need_comfort):一个人好孤单 | scp_company_001(101_seek_company):陪我 | ac_peiwo_001(261_act_cute_beg):陪陪我 | cc_peiwo_001(223_clingy_companion):陪我 | pw_peiwo_001(298_peiwan_company):陪我
[65] mr_xingxing_001 | file=278_moon_round.yaml | intent=playful | kws=['星星亮', '满天星', '星光闪', '银河', '流星'] | utt=['星星亮', '满天星', '星光闪'] | sibs=nm_xingxing_001(065_night_moon_stars):星星 | sjm_mt_009(778_small_joy_moment):一抬头看天 | mr_yueliang_002(408_moon_round):星星好亮 | fmn_stars_001(542_full_moon_night):星星好亮 | ng_starry_001(121_night_goodnight):星星好亮 | mrn_stars_002(348_moon_round_night):星星
[66] tst_ts_002 | file=761_tail_swing_tease.yaml | intent=complaint | kws=['被踩尾巴', '痛哭', '故意的', '抓住', '道歉'] | utt=['被踩尾巴', '痛哭', '故意的'] | sibs=ts_weiba_001(410_tail_stepped):踩尾巴了 | jp_forgive_010(325_jealous_pout):哄哄笨猫 | at_aimei_010(434_ambiguous_tease):不要走 | tst_ts_009(761_tail_swing_tease):尾巴扫脸 | tsd_apologize_001(107_tail_stepped):对不起 | jp_apologize_007(159_jealousy_pouting):对不起
[67] tlt_late_001 | file=493_takeout_late.yaml | intent=complaint | kws=['外卖慢', '还没到', '外卖晚', '等好久', '饿死'] | utt=['外卖好慢', '还没送到', '外卖晚了'] | sibs=tos_wait_long_001(112_takeout_slow):外卖久 | tsa_slow_001(345_takeout_slow_anger):外卖慢 | tos_waimai_001(032_takeout_slow):外卖好慢 | ts_waiman_001(317_takeout_slow):外卖好慢 | ec_takeout_001(123_eat_check_in):点啥外卖 | tk_tk_man_002(246_takeout_chat):外卖慢
[68] mem_awsl_001 | file=917_random_meme_laugh.yaml | intent=playful | kws=['awsl', '啊我死了', '太萌', '萌死', '可爱炸'] | utt=['awsl', '啊我死了', '太萌'] | sibs=er_awsl_004(158_emoji_reactions):awsl | er_er_awsl_004(229_emoji_react):awsl | res_awsl_001(358_random_emoji_spam):awsl | te_awsl_005(191_text_emoji):awsl | eh_awsl_001(052_emoji_heihei_laugh):awsl | aco_awsl_001(334_awsl_cute_overload):awsl
[69] st_naicha_001 | file=797_sweet_tooth_crave.yaml | intent=question | kws=['奶茶', '喜茶', '奈雪', '一点点', '蜜雪冰城'] | utt=['奶茶', '喜茶', '奈雪'] | sibs=tts_tea_004(553_tea_time_sip):乌龙茶配点心 | dwr_chayinliao_004(015_drink_water_remind):想喝奶茶 | tts_tea_008(553_tea_time_sip):绿茶提神红茶暖胃 | tts_tea_006(553_tea_time_sip):{user_addr}该喝什么茶呢 | nbc_zhongwukafei_001(353_noon_break_chat):下午茶时间 | snc_milktea_001(504_snacks_craving):想喝奶茶
[70] rs_meanless_001 | file=144_random_silly.yaml | intent=playful | kws=['我说的话有意思吗', '无聊吗', '闲扯', '瞎扯', '闲聊'] | utt=['闲扯', '瞎扯', '闲聊'] | sibs=rc_chitchat_001(150_random_chatter):瞎聊 | lb_chayu_001(254_lunch_break):茶余饭后 | rfc_xiache_001(744_random_fun_chat):瞎扯 | cc2_suisui_001(251_cat_chitchat):碎碎念 | rc_meaningless_003(179_random_chat):无聊话 | bc_want_nonsense_001(S9_bored_chitchat):想说点废话
[71] yws_yawn_002 | file=549_yawn_morning_stretch.yaml | intent=playful | kws=['早晨困', '醒不来', '眯眼', '哈欠连天', '懒猫'] | utt=['{user_addr}今天起得早结果哈欠不停', '猫猫你也犯困吗', '哈欠传染了快'] | sibs=mg_mg_xingbujue_005(247_morning_grumpy):醒不来 | yws_yawn_008(549_yawn_morning_stretch):猫猫你也犯困吗 | em_morning_mood_010(186_early_morning):起床气 | yws_yawn_012(549_yawn_morning_stretch):{user_addr}今天起得早结果哈欠不停 | yws_yawn_004(549_yawn_morning_stretch):哈欠传染了快 | yws_yawn_010(549_yawn_morning_stretch):伸懒腰最舒服了喵
[72] eh_haohao_001 | file=052_emoji_heihei_laugh.yaml | intent=playful | kws=['哈哈哈', '笑到了', '太好笑', '笑了笑了', '笑'] | utt=['哈哈哈', '笑到了', '太好笑'] | sibs=nm_nm_233_002(250_number_meme):233 | ld_xiaosi_001(402_laugh_dead):笑死了 | te_haha_001(191_text_emoji):哈哈 | hy_haha_003(303_heihei_yingying):哈哈哈 | er_xiaosi_001(229_emoji_react):笑死 | ldm_lol_002(341_laugh_die_meme):lol
[73] rny_mood_010 | file=751_rainy_day_mood.yaml | intent=question | kws=['雨天吃啥', '火锅天', '暖胃', '热汤', '麻辣烫'] | utt=['雨天吃火锅', '暖胃食物', '热汤来一碗'] | sibs=sfl_malatang_003(625_spicy_food_lover):麻辣烫 | hwr_warmstomach_002(618_hot_water_remind):暖暖胃 | rdm_rain_food_009(823_rainy_day_mood):{user_addr}雨天吃火锅 | rd_chiyu_001(890_rainy_day_mood):雨天想吃热的 | wc_hot_drink_007(172_warm_clothing):喝热水 | shr_warm_meal_001(108_shoveler_return):热饭
[74] hbl_back_hug_010 | file=336_hug_beg_lap.yaml | intent=playful | kws=['背后抱', '后面抱', '后背贴', '背贴', '偷偷抱'] | utt=['背后抱', '后面抱', '后背贴'] | sibs=spc_clinging_back_001(522_spoiled_clingy):背后抱你 | hgr_back_hug_001(103_hug_request):背后抱 | hp_back_hug_007(157_hug_petting):背后抱你 | hr_houbao_001(055_hug_request):背后抱 | afh_zhuangzhongbao_009(025_ask_for_hug):背后抱 | whb_hug_009(475_want_hug_beg):{user_addr}背后抱
[75] bn_mangma_001 | file=293_busy_or_not_ask.yaml | intent=question | kws=['忙不忙', '忙吗', '在忙吗', '最近忙', '还忙吗'] | utt=['忙不忙', '在忙吗', '最近忙'] | sibs=bon_busy_001(459_busy_or_not):{user_addr}忙吗 | sc_busy_003(188_status_check):忙吗 | ay_busy_001(122_are_you_there):{user_addr}忙吗 | abn_busy_002(322_asking_busy_now):笨猫忙吗 | ayt_busy_check_001(518_are_you_there_ping):{user_addr}在忙吗 | status_busy_001(10_status):你忙吗
[76] wkd_mall_001 | file=919_weekend_plan_chat.yaml | intent=playful | kws=['逛街', '商场', '买东西', '试衣服', '大采购'] | utt=['周末逛街', '商场转转', '试衣服'] | sibs=wli_dapaomimaomao_001(743_weekend_lazy_idea):逛街 | wd_ganma_008(422_what_doing_now):在外面 | se_se_paotui_007(238_street_encounter):跑腿 | wdn_shopping_001(081_what_doing_now):逛淘宝 | lz_chuannmun_001(800_lazy_sunday_morning):周日出门 | gsh_at_market_001(828_grocery_shopping):{user_addr}在超市
[77] cr_yaosuan_001 | file=051_care_rest_health.yaml | intent=complaint | kws=['腰疼', '腰酸', '颈椎', '肩疼', '背痛'] | utt=['腰疼', '腰酸', '颈椎疼'] | sibs=disease_back_pain_001(C5_health_disease):我腰疼 | sr_back_sore_001(RR6_sore_recovery):腰好酸 | cls_neckache_001(487_care_lifestyle):脖子好疼 | bk_yaosuan_001(792_backache_sit_long):腰酸 | health_back_001(91_health_fitness):腰好疼 | sla_backache_003(629_stretching_lazy):腰酸
[78] cg_kesou_001 | file=790_cough_throat_dry.yaml | intent=complaint | kws=['咳嗽', '一直咳', '咳不停', '干咳', '咳得难受'] | utt=['咳嗽', '一直咳', '咳不停'] | sibs=cc_kesou_001(041_catch_a_cold_sick):咳嗽 | ps_cough_001(CCC6_pet_sick):{user_addr}我家猫咳嗽 | lc_lc_chiyao_005(239_life_care):生病 | srn_cough_loud_011(838_sneeze_runny_nose):{user_addr}咳嗽 | dw_chuannuan_008(430_dress_warm_remind):暖气不热 | dr_naiguo_007(300_dress_warm_care):感冒了
[79] fc_milk_tea_006 | file=207_food_craving.yaml | intent=playful | kws=['奶茶', '来杯奶茶', '喜茶', '奈雪', '一点点'] | utt=['奶茶', '来杯奶茶', '喜茶'] | sibs=tts_tea_004(553_tea_time_sip):乌龙茶配点心 | dwr_chayinliao_004(015_drink_water_remind):想喝奶茶 | tts_tea_008(553_tea_time_sip):绿茶提神红茶暖胃 | tts_tea_010(553_tea_time_sip):你陪我选选嘛 | tts_tea_006(553_tea_time_sip):{user_addr}该喝什么茶呢 | nbc_zhongwukafei_001(353_noon_break_chat):下午茶时间
[80] vm_noise_001 | file=945_voice_message_fear.yaml | intent=complaint | kws=['背景噪音', '听不清', '杂音', '风声', '太吵'] | utt=['背景噪音', '听不清', '杂音'] | sibs=vcc_voice_002(672_voice_call_chat):信号差{user_addr} | pb_ting_bu_dong_001(BBB7_pronunciation_bad):{user_addr}说啥猫猫听不懂 | vml_voicetotext_002(633_voice_msg_lazy):语音转文字 | ap_hearing_loss_001(NNN5_aging_parent):我爸耳朵越来越背 | vm_voi_004(595_voice_message_lazy):语音断断续续 | vm_baichang_001(885_voice_message_shy):背景吵
[81] hp_squeeze_005 | file=157_hug_petting.yaml | intent=playful | kws=['捏脸', '捏脸蛋', '挤脸', '包子脸', '软软脸'] | utt=['捏脸蛋', '捏猫猫的脸', '挤一下脸'] | sibs=hpb_zaipa_005(026_head_pat_beg):揉脸 | ps_sajiao_008(425_pouty_sulking):捏脸喵 | og_pang_003(437_owner_got_fat):双下巴 | hpb_cheek_004(337_head_pat_beg):捏腮帮 | hp_rourou_001(266_head_pat):揉脸 | ah_motou_002(436_ask_for_headpat):揉脸
[82] wdn_bored_001 | file=081_what_doing_now.yaml | intent=complaint | kws=['没事干', '无聊', '闲着', '没事做', '闲死'] | utt=['没事干', '{user_addr}无聊', '闲着'] | sibs=rc_in_the_middle_of_nothing_008(179_random_chat):无所事事 | bof_haoxian_003(008_busy_or_free):好闲 | bk_wuliao_001(039_bored_killing_time):无聊 | wdn_meiganma_005(005_what_doing_now):没干嘛 | me_random_001(142_micro_emotion):无聊 | wd_meishi_010(290_what_doing_now):没事干
[83] cart_discount_001 | file=920_shopping_cart_chat.yaml | intent=playful | kws=['优惠券', '满减', '凑单', '打折', '凑够'] | utt=['凑满减', '优惠券', '凑单'] | sibs=rpj_youhuiquan_007(033_red_packet_joy):捡到便宜 | sc_quanbujian_001(806_shopping_cart_full):优惠券 | sh_double_sale_002(212_shopping_haul):打折 | shh_discountalert_001(507_shopping_haul):打折了 | slt_discount_001(117_small_lucky_thing):打折 | gsh_promo_promo_003(828_grocery_shopping):{user_addr}打折好划算
[84] ew_xiongmo_001 | file=053_emoji_wuwu_yingying.yaml | intent=complaint | kws=['心累', '累累', '心好累', '累瘫', '累到'] | utt=['心累', '累累', '心好累'] | sibs=mm_sigh_008(205_micro_mood):叹气 | sct_tired_heart_001(094_seek_comfort):心累 | lm_burnout_011(215_lazy_mode):崩溃 | nc_woshibu_001(127_need_comfort):受委屈了 | mm_helpless_010(205_micro_mood):无奈 | nch_xinku_001(012_need_comfort_hug):我累了
[85] nlb_xiuxi_005 | file=003_noon_lunch_break.yaml | intent=playful | kws=['休息一下', '歇会', '喘口气', '中场休息', '缓一缓'] | utt=['休息一下', '歇会儿', '喘口气'] | sibs=trc_take_break_001(528_take_rest_care):休息一下 | ws_coffee_break_001(140_work_slack):来杯咖啡 | rc_short_break_004(173_rest_concern):小憩一下 | rwc_rest_001(467_rest_well_care):{user_addr}休息了吗 | rw_xiuxi_001(401_rest_well):{user_addr}休息了吗 | att_break_001(078_afternoon_tea_time):想休息
[86] cb_sleep_lack_001 | file=NNN6_caregiver_burden.yaml | intent=complaint | kws=['睡眠不足', '夜里起来', '半夜照顾', '没睡好', '睡眠差'] | utt=['夜里要起来照顾老人', '睡眠严重不足', '半夜被叫醒好多次'] | sibs=rw_xiuxi_004(401_rest_well):睡眠不足 | sya_sleep_005(458_sleep_yet_ask):{user_addr}没睡够 | lj_cant_sleep_well_001(Z8_long_journey):路上睡不好 | mwk_jingshen_005(001_morning_wakeup_chat):今天好精神 | sb_sleep_short_001(AAA5_side_burnout):睡眠不足 | sy_meishuihaomeng_005(292_slept_yet_ask):没睡好
[87] snc_stiff_008 | file=557_stiff_neck_complain.yaml | intent=playful | kws=['脖子歪', '僵尸', '转头', '按摩', '贴膏药'] | utt=['猫猫帮我按按', '按摩仪上线', '扭一扭咔咔响'] | sibs=ms_neck_crack_008(681_morning_stretch):{user_addr}转脖子咔咔 | rw_anjie_008(301_rest_well_care):按个摩 | snc_stiff_010(557_stiff_neck_complain):扭一扭咔咔响 | snc_stiff_002(557_stiff_neck_complain):贴了膏药辣辣的 | snc_stiff_012(557_stiff_neck_complain):贴了膏药辣辣的 | hpb_anmo_010(026_head_pat_beg):按摩
[88] sla_kuaishui_002 | file=007_sleepy_already.yaml | intent=complaint | kws=['快睡', '早点睡', '别熬', '不许熬夜', '准时睡'] | utt=['快去睡', '早点睡', '别熬夜'] | sibs=nf_wan_zaodian_007(220_night_farewell):几点睡 | sy_jihui_003(292_slept_yet_ask):几点睡啊 | ser_zaoshui_001(370_sleep_early_remind):早点睡 | rw_zaodian_003(301_rest_well_care):早点睡 | sac_jinkuai_001(355_still_awake_check):该睡了 | syc_go_sleep_001(521_sleep_yet_check):{user_addr}快睡
[89] psk_diet_succ_001 | file=525_praise_seeking.yaml | intent=playful | kws=['瘦了', '减肥成功', '体重下来', '瘦下来', '瘦一斤'] | utt=['瘦了', '减肥成功', '体重下了'] | sibs=dts_compliment_001(969_diet_struggle):瘦了 | pb_qiukua_006(394_praise_beg):我瘦了 | gym_progress_001(923_gym_skip_excuse):瘦了 | tw_shouhia_001(057_tease_master_weight):瘦了 | wsf_lose_001(970_weighing_scale_fear):瘦了 | tf_xiaoyou_010(309_tease_master_fat):瘦点了
[90] msc_midnight_007 | file=562_midnight_snack_crave.yaml | intent=playful | kws=['嘴馋', '想吃', '烧烤', '泡面', '夜宵'] | utt=['嘴馋停不下', '泡面香啊', '猫猫一起吃嘛'] | sibs=cf_cf_quru_006(230_counter_flirt):馋你 | fdc_food_003(350_fish_dry_crave):饿了 | att_snack_001(078_afternoon_tea_time):想吃零食 | og_pang_006(437_owner_got_fat):食欲控制不住 | ayc_eat_005(457_ate_yet_care):{user_addr}想吃 | fc_late_snack_004(207_food_craving):深夜放毒
[91] rgg_laugh_too_hard_012 | file=822_random_giggle.yaml | intent=playful | kws=['笑岔气', '笑到肚子疼', '笑出腹肌', '笑停不下来', '蚌埠住了'] | utt=['{user_addr}笑岔气了', '笑到肚子疼', '笑出腹肌'] | sibs=eh_xiaosi_001(052_emoji_heihei_laugh):笑死 | hle_haha_loud_004(330_hehe_laugh_emoji):笑死我了 | hy_haha_003(303_heihei_yingying):哈哈哈 | hhg_xiaopen_003(019_hehe_giggle):笑喷了 | xs_xiaodiqi_003(312_xiaosi_meme_laugh):笑岔气 | ld_jejuezi_001(272_laugh_die):绝绝子
[92] sy_shuile_004 | file=424_sleep_yet.yaml | intent=question | kws=['睡得香吗', '一觉到天亮', '做梦了', '怎么睡', '睡眠质量'] | utt=['睡得香吗', '一觉到天亮', '做梦了'] | sibs=dc_no_dream_009(165_dream_chat):没做梦 | hd_zuomeng_001(277_had_dream):做梦了 | dln_no_dream_001(119_dream_last_night):没做梦 | mdc_dream_007(321_midnight_chat):我做了个梦 | syc_sleep_deep_001(521_sleep_yet_check):睡得真香 | jwg_zuomeng_001(356_just_wake_groggy):做梦了
[93] cl_lazy_cook_001 | file=ZZ6_cooking_lazy.yaml | intent=complaint | kws=['懒得做饭', '不想做饭', '做饭好烦', '做饭累', '懒得开火'] | utt=['懒得做饭', '今天不想做饭', '做饭好烦啊'] | sibs=mcd_jianhao_001(718_meal_check_dinner):简单吃 | tos_cooking_lazy_001(112_takeout_slow):懒得做饭 | id_waimaichi_001(989_indoor_lazy_day):三餐外卖 | ewc_eat_007(468_eat_well_care):{user_addr}吃外卖 | brn_pick_002(748_brunch_dilemma):外卖太贵 | ld_lazy_meal_003(178_lazy_day_off):懒得做饭
[94] st_lost_quickly_011 | file=195_small_things.yaml | intent=complaint | kws=['迷路', '走错了', '跑错路', '找不到方向', '不认路'] | utt=['迷路了', '走错了', '跑错路'] | sibs=se_lost_way_001(141_street_encounter):迷路了 | tcm_lostway_001(492_traffic_commute):迷路了 | sct_lost_001(094_seek_comfort):迷茫 | rpl_zoujiu_001(740_road_pickup_lost):走错路 | re_get_lost_009(177_road_encounter):迷路了 | lf_milu_001(OO9_lost_foreign):{user_addr}迷路了
[95] hpr_dashou_001 | file=727_head_pat_request.yaml | intent=playful | kws=['大手手', '给我手', '牵手', '握手', '手心'] | utt=['{user_addr}大手手', '给我手', '牵手'] | sibs=bcu_handhold_001(490_beg_cuddle):牵手 | rf_qiantao_001(054_reverse_flirt_blush):想你了 | hp_pinky_hold_010(157_hug_petting):牵手 | at_aimei_005(434_ambiguous_tease):谈恋爱 | hbl_hold_hand_007(336_hug_beg_lap):牵手 | scl_hold_hand_001(092_spoil_clingy):牵手
[96] srn_sneeze_001 | file=838_sneeze_runny_nose.yaml | intent=complaint | kws=['打喷嚏', '喷嚏不停', '三个喷嚏', '鼻子痒', '一连串'] | utt=['{user_addr}打喷嚏', '喷嚏不停', '三个喷嚏'] | sibs=wtc_runningnose_009(621_weather_too_cold):流鼻涕 | pec_pet_005(674_pet_envy_chat):{user_addr}猫毛过敏 | sbc_sneeze_001(559_sneeze_burst_chat):阿嚏！{user_addr}是不是有人想我 | sbc_sneeze_011(559_sneeze_burst_chat):阿嚏！{user_addr}是不是有人想我 | sbc_sneeze_007(559_sneeze_burst_chat):连打三个喷嚏 | sn_sne_001(610_sneeze_chain_attack):打喷嚏
[97] bm_qingfang_001 | file=993_random_burp_moment.yaml | intent=complaint | kws=['吃太快打嗝', '吃太饱', '吃急了', '大口吞咽', '吃过量'] | utt=['吃太快打嗝', '{user_addr}吃太饱', '吃急了'] | sibs=tw_baocan_001(057_tease_master_weight):吃多了 | nlb_lunch_too_full_001(077_noon_lunch_break):吃撑了 | ewr_kuaichi_001(369_eat_well_remind):吃太快 | oe_chitaiduo_001(QQ8_overeating):今天吃太多了 | hic_eatfast_001(947_hiccup_giggle):吃太快 | nlb_full_008(320_noon_lunch_break):吃太饱了
[98] pd_no_last_meet_001 | file=NNN9_parent_died.yaml | intent=complaint | kws=['没见最后一面', '没见到最后', '见不到最后', '没赶上', '最后一面'] | utt=['没见到父母最后一面', '没赶上最后一面', '最后一面都没见到'] | sibs=bct_missed_001(111_bus_commute_tired):错过班车 | mc_zaoan_009(384_morning_call):又迟到了 | gpl_event_end_001(546_gacha_pull_luck):活动结束 | sb_zaoyidian_001(DDD9_self_blame):早一点就好了 | bm_meicheguo_001(811_bus_missed_run):没赶上车 | sbw_miss_subway_002(825_subway_commute):{user_addr}错过地铁了
[99] mcd_yelan_001 | file=718_meal_check_dinner.yaml | intent=complaint | kws=['还没吃', '还饿着', '没吃饭', '一直没吃', '错过饭点'] | utt=['{user_addr}还没吃', '还饿着', '没吃饭'] | sibs=aly_meichi_002(006_ate_lunch_yet):还没吃 | ec_skip_meal_001(123_eat_check_in):没吃饭 | ewc_eat_001(468_eat_well_care):{user_addr}好好吃饭 | ayc_eat_002(457_ate_yet_care):{user_addr}还没吃 | ay_meichi_001(257_ate_yet):还没吃饭 | gmd_breakfast_001(516_good_morning_drowsy):{user_addr}吃早饭没
[100] stb_book_001 | file=914_study_burnout_vent.yaml | intent=complaint | kws=['书看不懂', '看几页', '走神', '词儿', '记不住'] | utt=['书看不懂', '一页看半天', '总走神'] | sibs=ms_blank_006(164_mood_swings):一直发呆 | ss_concentrate_fail_007(168_study_struggle):学不进去 | wdn_shenmou_002(005_what_doing_now):在想啥 | ss_focus_lost_006(202_study_scene):集中不了 | sg_shazi_001(061_small_morning_grump):早晨发呆 | dz_zoushen_001(042_daydream_zoning_out):走神
[101] wfi_fish_003 | file=656_workfish_idle_chat.yaml | intent=playful | kws=['同事八卦', '组里八卦', '聊起来', '瓜', '新闻'] | utt=['同事在八卦{user_addr}', '组里有瓜', '聊起来'] | sibs=wm_bagua_001(073_work_slack_moyu):八卦 | ws_gossip_004(203_work_slack):同事八卦 | ws_gossip_003(167_work_slack):同事八卦 | ws_coworker_001(140_work_slack):同事八卦 | sow_gossip_001(548_slack_off_work):同事八卦 | osc_baguatongshi_001(739_office_slacking_check):同事八卦
